-----------------------------------------------------
-----     Resultados    -----
-----------------------------------------------------

Parametro Deficit (alfa): 1.0
Parametro Exceso (beta):  1.0
Parametro de probabilidades (epsilon): 0.0
CPU time: 0.074
p	q	g Estimada	g Exacta	g Referencia	Deficit	Exceso
0	1	367968.0	367968.0	367970.0	2.0	 	0.0
0	2	241483.99999999994	241296.0	241300.0	0.0	 	184.0
0	3	45656.00000000023	45648.0	45648.0	0.0	 	9.0
0	4	3040.0	3408.0	3408.0	368.0	 	0.0
0	5	108436.0	108432.0	108430.0	0.0	 	6.0
0	6	394383.99999999965	392592.0	392590.0	0.0	 	1794.0
0	7	432.0	432.0	432.0	0.0	 	0.0
0	8	181632.0	181632.0	181630.0	0.0	 	2.0
0	9	201312.0	201312.0	201310.0	0.0	 	2.0
0	10	371659.9999999998	371664.0	371660.0	0.0	 	0.0
0	11	324960.0	324960.0	324960.0	0.0	 	0.0
0	12	329464.0000000001	329472.0	329470.0	6.0	 	0.0
0	13	271871.9999999999	271872.0	271870.0	0.0	 	2.0
0	14	352720.0000000002	341376.0	358230.0	5510.0	 	0.0
0	15	294100.0	294096.0	294100.0	0.0	 	0.0
0	16	100320.00000000006	100320.0	100320.0	0.0	 	1.0
1	0	303652.0	303648.0	303650.0	0.0	 	2.0
1	2	259696.00000000003	258960.0	258960.0	0.0	 	737.0
1	3	127580.0	127584.0	127580.0	0.0	 	0.0
1	4	349828.0	349392.0	349390.0	0.0	 	438.0
1	5	255360.0	255360.0	255360.0	0.0	 	0.0
1	6	205632.0	205632.0	205630.0	0.0	 	2.0
1	7	181816.00000000003	181824.0	181820.0	4.0	 	0.0
1	8	406032.0	406032.0	406030.0	0.0	 	2.0
1	9	195336.00000000047	195312.0	197840.0	2504.0	 	0.0
1	10	187972.00000000017	187968.0	187970.0	0.0	 	3.0
1	11	208752.0	208752.0	208750.0	0.0	 	2.0
1	12	188039.99999999994	189504.0	203120.0	15080.0	 	0.0
1	13	176640.0	176640.0	176640.0	0.0	 	0.0
1	14	4447.999999999604	4464.0	4464.0	16.0	 	0.0
1	15	166716.00000000003	165984.0	165980.0	0.0	 	737.0
1	16	90912.0	90912.0	90912.0	0.0	 	0.0
2	0	212452.0	212448.0	212450.0	0.0	 	2.0
2	1	208460.0	208464.0	208460.0	0.0	 	0.0
2	3	19824.0	19824.0	19824.0	0.0	 	0.0
2	4	359136.0	358704.0	386050.0	26914.0	 	0.0
2	5	145008.0	145008.0	145010.0	2.0	 	0.0
2	6	17664.0	17664.0	19249.0	1585.0	 	0.0
2	7	252052.0	252048.0	252050.0	0.0	 	2.0
2	8	210920.0	210912.0	231220.0	20300.0	 	0.0
2	9	405888.0	405888.0	405890.0	2.0	 	0.0
2	10	92064.0	92064.0	92064.0	0.0	 	0.0
2	11	292852.0	292848.0	292850.0	0.0	 	2.0
2	12	10864.0	10128.0	10865.0	1.0	 	0.0
2	13	351504.0	351504.0	351500.0	0.0	 	4.0
2	14	345496.0	345504.0	345500.0	4.0	 	0.0
2	15	239664.0	239664.0	239660.0	0.0	 	4.0
2	16	85728.0	85728.0	85728.0	0.0	 	0.0
3	0	139632.0	139632.0	139630.0	0.0	 	2.0
3	1	114768.0	114768.0	114770.0	2.0	 	0.0
3	2	370660.0	370656.0	370660.0	0.0	 	0.0
3	4	81168.0	81168.0	81168.0	0.0	 	0.0
3	5	17088.0	17088.0	17088.0	0.0	 	0.0
3	6	182496.0	182496.0	182500.0	4.0	 	0.0
3	7	367200.0	367200.0	367200.0	0.0	 	0.0
3	8	95520.0	95520.0	95520.0	0.0	 	0.0
3	9	282935.99999999977	282720.0	282720.0	0.0	 	216.0
3	10	254640.0	254640.0	254640.0	0.0	 	0.0
3	11	87528.0	88368.0	88368.0	840.0	 	0.0
3	12	200784.0	200784.0	216280.0	15496.0	 	0.0
3	13	78220.0	77376.0	83413.0	5193.0	 	0.0
3	14	325872.0	325872.0	325870.0	0.0	 	2.0
3	15	2832.0	2832.0	2832.0	0.0	 	0.0
3	16	30616.0	30624.0	30624.0	8.0	 	0.0
4	0	29040.0	29040.0	29040.0	0.0	 	0.0
4	1	131296.00000000003	131136.0	131140.0	0.0	 	157.0
4	2	3748.000000000029	3744.0	3744.0	0.0	 	5.0
4	3	120340.0	120336.0	120340.0	0.0	 	0.0
4	5	157920.0	157920.0	157920.0	0.0	 	0.0
4	6	329620.0	329616.0	329620.0	0.0	 	0.0
4	7	348868.0	348864.0	375780.0	26912.0	 	0.0
4	8	264376.0	264384.0	264380.0	4.0	 	0.0
4	9	353184.0	353184.0	353180.0	0.0	 	4.0
4	10	204040.0	204048.0	204050.0	10.0	 	0.0
4	11	297064.0	297072.0	297070.0	6.0	 	0.0
4	12	404735.99999999994	404736.0	404740.0	4.0	 	0.0
4	13	343540.0	343536.0	343540.0	0.0	 	0.0
4	14	360632.0	360624.0	360620.0	0.0	 	12.0
4	15	273792.0	273792.0	273790.0	0.0	 	2.0
4	16	394367.99999999994	394368.0	394370.0	2.0	 	0.0
5	0	332020.0	332016.0	332020.0	0.0	 	0.0
5	1	239632.00000000003	239952.0	239950.0	318.0	 	0.0
5	2	187340.0	187344.0	187340.0	0.0	 	0.0
5	3	206000.0	205776.0	206000.0	0.0	 	0.0
5	4	366492.0	366336.0	366340.0	0.0	 	152.0
5	6	41427.999999999985	41040.0	43240.0	1812.0	 	0.0
5	7	350304.0	350304.0	350300.0	0.0	 	4.0
5	8	232992.0	232992.0	232990.0	0.0	 	2.0
5	9	159480.0	159936.0	159940.0	460.0	 	0.0
5	10	157732.0	157728.0	157730.0	0.0	 	2.0
5	11	93552.0	93552.0	93552.0	0.0	 	0.0
5	12	130656.00000000003	130656.0	142280.0	11624.0	 	0.0
5	13	249072.0	249072.0	249070.0	0.0	 	2.0
5	14	249984.0	238656.0	238660.0	0.0	 	11324.0
