0,0,1,2
0,0,1,17496
1,0,2,33324
2,0,3,5472
3,0,4,2772
4,0,5,47016
5,0,6,16680
6,0,7,14052
7,1,0,39336
8,1,2,33105
9,1,3,19416
10,1,4,7284
11,1,5,28656
12,1,6,8425
13,1,7,26820
14,2,0,444
15,2,1,21120
16,2,3,40608
17,2,4,30672
18,2,5,43836
19,2,6,17772
20,2,7,31596
21,3,0,32352
22,3,1,5796
23,3,2,24720
24,3,4,11856
25,3,5,23184
26,3,6,16927
27,3,7,40392
28,4,0,38976
29,4,1,36624
30,4,2,43320
31,4,3,33516
32,4,5,11124
33,4,6,42694
34,4,7,8196
35,5,0,24492
36,5,1,15369
37,5,2,14064
38,5,3,47616
39,5,4,43348
40,5,6,28188
41,5,7,22032
42,6,0,34356
43,6,1,25274
44,6,2,7800
45,6,3,23196
46,6,4,6596
47,6,5,25416
48,6,7,21000
49,7,0,41988
50,7,1,13068
51,7,2,41976
52,7,3,31620
53,7,4,28008
54,7,5,11592
55,7,6,32035
