,0,1,2,3
0,0,0,1,142434.0
1,0,0,2,139674.0
2,0,1,3,55080.0
3,0,2,3,136482.0
4,0,0,4,48786.0
5,0,1,5,138216.0
6,0,4,5,101964.0
7,0,1,6,237618.0
8,0,0,8,302934.0
9,1,0,8,302934.0
10,0,8,7,119556.0
11,0,8,9,273108.0
12,0,2,10,190590.0
13,0,8,10,236502.0
14,0,0,13,88866.0
15,1,0,13,88866.0
16,0,0,14,68580.0
17,1,0,14,68580.0
18,0,2,12,219696.0
19,0,1,0,130230.0
20,0,1,2,185700.0
21,0,1,4,8640.0
22,0,5,7,163200.0
23,0,6,7,109506.0
24,0,3,8,167190.0
25,0,1,13,119004.0
26,0,1,14,281148.0
27,0,2,0,128358.0
28,0,2,1,159072.0
29,0,2,4,126888.0
30,0,3,5,107562.0
31,0,4,6,143994.0
32,0,10,9,97638.0
33,0,12,9,283872.0
34,0,10,11,184914.0
35,0,12,11,156858.0
36,0,3,2,91446.0
37,0,3,4,68352.0
38,1,3,4,68352.0
39,0,3,1,144972.0
40,0,5,12,388530.0
41,0,4,13,140478.0
42,0,4,1,89862.0
43,0,4,2,183204.0
44,0,4,3,75690.0
45,0,4,8,138156.0
46,0,5,4,105126.0
47,0,5,1,208830.0
48,0,5,3,141282.0
49,0,5,6,172986.0
50,0,6,8,140184.0
51,0,7,9,199140.0
52,0,12,10,139104.0
53,0,12,14,282810.0
54,0,6,4,189792.0
55,0,8,0,278052.0
56,0,6,1,263544.0
57,0,6,5,187080.0
58,0,9,11,203700.0
59,0,7,8,232326.0
60,0,7,6,227340.0
61,0,7,5,142326.0
62,0,8,3,150096.0
63,0,8,4,184860.0
64,0,9,10,93648.0
65,0,9,12,152286.0
66,0,10,2,149346.0
67,0,10,12,255516.0
68,0,9,8,348738.0
69,0,12,2,138636.0
70,0,9,7,249834.0
71,0,12,5,333870.0
72,0,11,13,324966.0
73,0,12,13,156042.0
74,0,10,8,294582.0
75,0,13,0,122166.0
76,0,13,1,189948.0
77,0,11,10,157404.0
78,0,11,12,88542.0
79,0,13,4,169650.0
80,0,11,9,84960.0
81,0,13,14,97476.0
82,0,14,0,192198.0
83,0,14,1,123858.0
84,0,13,12,222798.0
85,0,14,13,106722.0
