,0,1,2
0,0,1,38939.0
1,0,2,26460.0
2,0,3,41112.0
3,0,4,56358.0
4,0,5,21834.0
5,0,6,16038.0
6,0,7,36666.0
7,1,0,52362.0
8,1,2,68598.0
9,1,3,8658.0
10,1,4,4320.0
11,1,5,18432.0
12,1,6,51516.0
13,1,7,43812.0
14,2,0,4846.0
15,2,1,21564.0
16,2,3,68850.0
17,2,4,63215.0
18,2,5,33012.0
19,2,6,62208.0
20,2,7,2250.0
21,3,0,19836.0
22,3,1,53010.0
23,3,2,36828.0
24,3,4,51555.0
25,3,5,10458.0
26,3,6,11430.0
27,3,7,50778.0
28,4,0,20628.0
29,4,1,70380.0
30,4,2,1422.0
31,4,3,13878.0
32,4,5,53190.0
33,4,6,24444.0
34,4,7,21654.0
35,5,0,5616.0
36,5,1,26604.0
37,5,2,4104.0
38,5,3,48042.0
39,5,4,2880.0
40,5,6,40590.0
41,5,7,13086.0
42,6,0,34164.0
43,6,1,54054.0
44,6,2,10638.0
45,6,3,2898.0
46,6,4,51568.0
47,6,5,37854.0
48,6,7,71126.0
49,7,0,37170.0
50,7,1,44568.0
51,7,2,30850.0
52,7,3,345.0
53,7,4,2924.0
54,7,5,41850.0
55,7,6,25740.0
