0,0,1,2
0,0,1,64272
1,0,2,94404
2,0,3,60161
3,0,4,4548
4,0,5,1.0531e+05
5,0,6,96660
6,0,7,22764
7,0,8,76200
8,0,9,99984
9,0,10,62136
10,0,11,38376
11,0,12,31164
12,0,13,85056
13,0,14,71258
14,0,15,81192
15,0,16,1.0592e+05
16,0,17,18912
17,1,0,34668
18,1,2,91116
19,1,3,8904
20,1,4,17772
21,1,5,84432
22,1,6,79740
23,1,7,70212
24,1,8,1.0036e+05
25,1,9,94236
26,1,10,66972
27,1,11,37692
28,1,12,88200
29,1,13,83304
30,1,14,9288
31,1,15,41772
32,1,16,11928
33,1,17,61860
34,2,0,59907
35,2,1,1.0762e+05
36,2,3,67716
37,2,4,6204
38,2,5,75516
39,2,6,53112
40,2,7,37044
41,2,8,69696
42,2,9,11424
43,2,10,41052
44,2,11,7392
45,2,12,60533
46,2,13,46044
47,2,14,43128
48,2,15,72053
49,2,16,74532
50,2,17,54828
51,3,0,34152
52,3,1,5830
53,3,2,77292
54,3,4,24948
55,3,5,16152
56,3,6,46452
57,3,7,13428
58,3,8,99912
59,3,9,87365
60,3,10,18756
61,3,11,48996
62,3,12,45115
63,3,13,3252
64,3,14,42540
65,3,15,1.0345e+05
66,3,16,4128
67,3,17,7308
68,4,0,51648
69,4,1,6564
70,4,2,73977
71,4,3,7360
72,4,5,16620
73,4,6,3343
74,4,7,88128
75,4,8,86533
76,4,9,31138
77,4,10,63720
78,4,11,11700
79,4,12,71237
80,4,13,91404
81,4,14,50649
82,4,15,8136
83,4,16,81744
84,4,17,97044
85,5,0,30852
86,5,1,82656
87,5,2,64128
88,5,3,29064
89,5,4,14388
90,5,6,50556
91,5,7,57744
92,5,8,77400
93,5,9,64308
94,5,10,1.0155e+05
95,5,11,276
96,5,12,70752
97,5,13,63924
98,5,14,22248
99,5,15,24660
100,5,16,26376
101,5,17,9828
102,6,0,85740
103,6,1,10812
104,6,2,3852
105,6,3,52188
106,6,4,6264
107,6,5,13992
108,6,7,26520
109,6,8,56244
110,6,9,47088
111,6,10,20556
112,6,11,6108
113,6,12,26088
114,6,13,38424
115,6,14,63180
116,6,15,41040
117,6,16,13248
118,6,17,33444
119,7,0,1.0153e+05
120,7,1,26664
121,7,2,65184
122,7,3,74148
123,7,4,1620
124,7,5,50040
125,7,6,36708
126,7,8,48504
127,7,9,50916
128,7,10,83160
129,7,11,10596
130,7,12,77712
131,7,13,63624
132,7,14,73476
133,7,15,97392
134,7,16,83124
135,7,17,66000
136,8,0,64356
137,8,1,12228
138,8,2,65916
139,8,3,78024
140,8,4,55128
141,8,5,96984
142,8,6,55899
143,8,7,44556
144,8,9,29700
145,8,10,77184
146,8,11,9444
147,8,12,37140
148,8,13,86484
149,8,14,43032
150,8,15,72348
151,8,16,95149
152,8,17,1.0054e+05
153,9,0,98376
154,9,1,61452
155,9,2,40938
156,9,3,38966
157,9,4,79572
158,9,5,88272
159,9,6,1.0312e+05
160,9,7,63396
161,9,8,1.0561e+05
162,9,10,18198
163,9,11,19704
164,9,12,91404
165,9,13,21996
166,9,14,5856
167,9,15,78372
168,9,16,33144
169,9,17,91728
170,10,0,55584
171,10,1,1.08e+05
172,10,2,50952
173,10,3,22764
174,10,4,7932
175,10,5,50004
176,10,6,82356
177,10,7,28188
178,10,8,71292
179,10,9,93180
180,10,11,57960
181,10,12,26712
182,10,13,77988
183,10,14,14364
184,10,15,77100
185,10,16,5856
186,10,17,80369
187,11,0,92136
188,11,1,59448
189,11,2,1728
190,11,3,71471
191,11,4,15744
192,11,5,67920
193,11,6,67500
194,11,7,8268
195,11,8,78421
196,11,9,47739
197,11,10,38664
198,11,12,40824
199,11,13,99372
200,11,14,55224
201,11,15,90864
202,11,16,51060
203,11,17,48048
204,12,0,1.0718e+05
205,12,1,61344
206,12,2,1.0249e+05
207,12,3,83976
208,12,4,53544
209,12,5,63768
210,12,6,19080
211,12,7,1.0379e+05
